"Nanjing, CN, 32.060255, 118.796877";"Vancouver, CA, 49.2827291, -123.1207375"
"Nanjing, CN, 32.060255, 118.796877";"Shanghai, CN, 31.2303904, 121.4737021"
"Nanjing, CN, 32.060255, 118.796877";"Hong Kong, HK, 22.3192011, 114.1696121"
"Hong Kong, HK, 22.3192011, 114.1696121";"Santos, BR, -23.9678823, -46.3288865"
"Hong Kong, HK, 22.3192011, 114.1696121";"Paranaguá, BR, -25.5148826, -48.5225655"
"Hong Kong, HK, 22.3192011, 114.1696121";"Suape, BR, -8.3536618, -34.9575528"
"Hong Kong, HK, 22.3192011, 114.1696121";"Itaqui, BR, -23.5241805, -46.9428727"
"Hong Kong, HK, 22.3192011, 114.1696121";"Vila do Conde, PT, 41.3517302, -8.7478619"
"Hong Kong, HK, 22.3192011, 114.1696121";"Manaus, BR, -3.1190275, -60.0217314"
"Hong Kong, HK, 22.3192011, 114.1696121";"Rotterdam, NL, 51.9244201,4.4777326"
"Hong Kong, HK, 22.3192011, 114.1696121";"Houston, US, 29.7604267, -95.3698028"
"Hong Kong, HK, 22.3192011, 114.1696121";"Vancouver, CA, 49.2827291, -123.1207375"
"Hong Kong, HK, 22.3192011, 114.1696121";"Shanghai, CN, 31.2303904, 121.4737021"
"Hong Kong, HK, 22.3192011, 114.1696121";"Nanjing, CN, 32.060255, 118.796877"
